crop,tissue,prep,region_group,voxel_nm,n_cells_considered,n_cells_included,total_ecs_surface_nm2,curvature_abs_median_per_nm,curvature_abs_p25_per_nm,curvature_abs_p75_per_nm,curvature_signed_median_per_nm,curvature_signed_p10_per_nm,curvature_signed_p90_per_nm,curvature_std_per_nm,curvature_iqr_per_nm,fraction_convex,fraction_concave,fraction_flat,roughness_rms_nm_p30,roughness_rms_nm_p60,roughness_rms_nm_p120,protrusion_density_per_um2,indentation_density_per_um2,protrusion_count,indentation_count,native_voxel_nm,analysis_voxel_nm
crop1046,Cortex,Chemical,,2.0,17,12,4518427.560314832,0.0023452898478012463,0.001040716640082839,0.0044789405414677255,0.00033124894920695937,-0.004437049794941173,0.0058842490018574745,0.0050751926116985625,0.0034382239013848867,0.31483086982712194,0.24335641955553353,0.441812710617344,0.7896376765810216,2.820671201866512,5.481886622081828,33.41870550857713,1.1065796526018918,151,5,2.0,2.0
crop1038,Liver,Chemical,Space of Disse,8.0,61,21,25339164.419202067,0.005162944102506642,0.002303324590314812,0.009318821833635542,0.0035295173962156343,-0.004802605506171035,0.01321312850562386,0.009321281876542969,0.007015497243320731,0.5904476886709855,0.19069109641977952,0.21886121490923516,1.6151743873291113,5.250512945416746,15.963749408603652,12.865459752609544,4.025389247748999,326,102,4.0,8.0
crop1032,Kidney,Chemical,PCT base,4.0,25,23,31160895.34646161,0.002787818225591298,0.0012386750938805666,0.005207378956363485,0.0010253062500905415,-0.00417008754934192,0.007254307108356518,0.005205525654885059,0.003968703862482919,0.40587883788126355,0.2120715820395696,0.38204958007916684,0.9013207735175262,3.06295710262913,9.416149157918614,14.216536305344118,4.492810570537644,443,140,4.0,4.0
crop1036,Cortex,Chemical,,4.0,14,10,4135687.794998137,0.003457251958023703,0.0016232602204936408,0.006090077214236873,0.00271507604379153,-0.002585483606155365,0.009110041166201809,0.005107106551495621,0.004466816993743232,0.5684921535148558,0.12670904969020566,0.30479879679493826,1.0447606122037587,3.75895068276003,12.657039708484469,21.278201924823886,1.6925842440200818,88,7,2.0,4.0
crop1043,Liver,Chemical,Space of Disse,8.0,81,17,26370767.31838123,0.005905951251326718,0.0027896834254808977,0.010121152379097808,0.004460632138497261,-0.004940592637190213,0.013928265653108604,0.009937912183182507,0.00733146895361691,0.6372341757208433,0.18196830602169556,0.1807975182574609,1.6439673165756634,5.509775154003232,16.802833939252142,14.068608452716568,4.285047857565963,371,113,4.0,8.0
crop1036,Cortex,Chemical,,8.0,14,12,4821304.581163218,0.004186853817148544,0.0019160833662256226,0.007792879837239086,0.0035747211072423087,-0.0023206650059335314,0.012378481913190456,0.006705154021016269,0.005876796471013464,0.6267253669805127,0.11314150192614868,0.2601331310933387,1.3727598092460107,4.615211769977872,14.481971591553583,20.11903590969504,1.451889189359436,97,7,2.0,8.0
crop1046,Cortex,Chemical,,4.0,17,12,5697728.297993392,0.0028867060296803647,0.0012580062532486682,0.00561192990869461,0.0012436250655599153,-0.0038412937388363558,0.008817861172314473,0.005592906662552876,0.0043539236554459414,0.4295827041898382,0.195536239028613,0.37488105678154865,1.0050502807674462,3.4431811012791638,10.939972510763486,25.097721850015436,2.106102532868428,143,12,2.0,4.0
crop1046,Cortex,Chemical,,8.0,17,12,6591662.472780982,0.0035227970087492975,0.0014989705567960197,0.0072610569043194614,0.0020647280659362795,-0.0035389873696596978,0.012574198315979217,0.007436527489442337,0.005762086347523442,0.5051826189463392,0.17206412466542284,0.322753256388238,1.3529265373592978,4.297589951969828,12.731455640457447,20.02529719096949,1.8204815628154083,132,12,2.0,8.0
crop1032,Kidney,Chemical,PCT base,8.0,25,23,33424361.060273267,0.003115466393656827,0.0013735296783110448,0.006000988739544254,0.0014049220720014997,-0.0040914239720948025,0.009234779160385538,0.006253655233109925,0.004627459061233209,0.4482175471730816,0.20319261286059698,0.34858983996632154,1.1010276859573203,3.5811437756275124,10.600762092650644,13.37347927740299,4.128725146043876,447,138,4.0,8.0
crop1030,Kidney,Chemical,DCT base,4.0,28,22,36355966.31866841,0.002511541761415069,0.0011295863841795063,0.004699234750103691,0.0006587496463170294,-0.004159861581260916,0.006610802993515782,0.007624471501796895,0.003569648365924185,0.35758584583608444,0.2264722288063982,0.4159419253575185,0.9220040173747317,2.921186097393729,8.803262707270726,13.725395045923143,3.3006962034284113,499,120,4.0,4.0
crop1030,Kidney,Chemical,DCT base,8.0,28,23,39790221.85166371,0.0028642567787388216,0.001276135144466781,0.005537577014947877,0.0010735260147499831,-0.004017901794385921,0.008990572202070592,0.008101039050794845,0.004261441870481096,0.41393425298487113,0.2123643126348145,0.3737014343803147,1.134434707238743,3.486516309216045,10.114885656735932,12.06326523610298,3.091211716751389,480,123,4.0,8.0
crop1034,Cortex,Chemical,,2.0,24,20,4523141.379311062,0.002851800976242118,0.0013414943678654188,0.004928267775114576,0.0018693772806860796,-0.003093516713401339,0.006736912220879168,0.004510811122706214,0.003586773407249157,0.485192796866476,0.1508191540470176,0.36398804908650695,0.8678753919468152,3.2962847111495583,6.688304033454787,37.584498414660075,0.6632558543763543,170,3,2.0,2.0
crop1035,Cortex,Chemical,,2.0,20,9,3616722.59707254,0.00285325277037872,0.001328817572488051,0.004977312740041768,0.00031229909309104885,-0.005392522090380159,0.005739679680300081,0.004949628078421571,0.0036484951675537164,0.3405825838119707,0.2938007308882956,0.36561668529973357,0.7886800276727266,2.822154144713435,5.842103857602468,30.414276198300797,2.2119473598764214,110,8,2.0,2.0
