crop,tissue,prep,region_group,voxel_nm,n_boundary_faces,gap_min_nm,gap_mean_nm,gap_std_nm,percentiles_nm_p10,percentiles_nm_p25,percentiles_nm_p50,percentiles_nm_p75,percentiles_nm_p90,contact_fractions_p20,contact_fractions_p40,contact_fractions_p80,contact_fractions_p160,contact_fractions_p320,native_voxel_nm,analysis_voxel_nm
crop1135,Kidney,Rapid HPF,Glomerular,8.0,401011,24.0,114.58430694098868,81.84520271229786,24.0,43.77708763999664,91.08131845707604,173.10676428876894,237.8473589012499,0.0,0.2228467548271743,0.4498928957061028,0.7156162798526724,0.987439247302443,8.0,8.0
crop1148,Heart,Chemical,Intercalated disc,8.0,335050,24.0,58.547379334375336,20.734162197768544,41.88854381999832,47.191835884530846,54.62741699796952,63.377408526555115,76.76193264493793,0.0,0.06961349052380242,0.9138576331890763,0.9939800029846292,1.0,8.0,8.0
crop1149,Heart,Rapid HPF,Cardiac interstitial,8.0,210175,24.0,104.70398622784768,57.12457180790112,37.20225231898308,56.0,97.03781962938027,146.1006344390961,177.67166937444188,0.0,0.12347805400261687,0.4130082074461758,0.8287998096824075,0.9964029975020816,8.0,8.0
crop1150,Heart,Rapid HPF,Cardiac interstitial,8.0,315079,24.0,153.49115117443904,159.9441200864327,33.17011495953578,51.59591794226542,84.71516196311828,163.94006850231247,433.5328136593407,0.0,0.15675751160819984,0.46827303628613776,0.7465873638039984,0.8347176422421043,8.0,8.0
crop1151,Heart,Rapid HPF,Intercalated disc,8.0,314558,24.0,33.684205888566204,7.1937570611554795,24.0,30.627416997969522,33.17011495953578,37.20225231898308,40.0,0.0,0.838843710857775,0.999408694104108,1.0,1.0,8.0,8.0
crop1152,Heart,Rapid HPF,Intercalated disc,8.0,90395,24.0,141.35543877952873,88.53316110111955,27.31370849898476,43.59591794226542,162.7120838066049,214.12219496857233,250.90862171278175,0.0,0.21581945904087615,0.37315116986558994,0.4912882349687483,0.994413407821229,8.0,8.0
crop1118,Liver,Chemical,Hepatocyte lateral,8.0,61612,24.0,35.34075039975006,27.810668871730606,27.31370849898476,27.31370849898476,27.31370849898476,30.627416997969522,35.31370849898476,0.0,0.9239920794650393,0.9417808219178082,0.9881516587677726,0.99922093098747,8.0,8.0
crop1119,Liver,Chemical,Hepatocyte lateral,8.0,73506,24.0,41.08597555518373,28.424093146207458,24.0,24.0,27.31370849898476,43.77708763999664,81.94112549695427,0.0,0.7245667020379288,0.8951650205425408,0.9945038500258482,1.0,8.0,8.0
crop1120,Liver,Chemical,Hepatocyte lateral,8.0,102934,24.0,43.065631138170396,24.53546984229399,27.31370849898476,27.31370849898476,30.627416997969522,51.59591794226542,73.96969000988257,0.0,0.6383216429945402,0.9235529562632366,0.9935881244292459,1.0,8.0,8.0
crop1121,Liver,Chemical,Hepatocyte lateral,8.0,88850,27.31370849898476,29.333567016610495,9.111960380017873,27.31370849898476,27.31370849898476,27.31370849898476,27.31370849898476,30.627416997969522,0.0,0.9666629150253235,0.9901857062464828,0.9997974113674732,1.0,8.0,8.0
crop1122,Liver,Chemical,Hepatocyte lateral,8.0,112046,24.0,51.61669968656698,41.82302388000199,24.0,24.0,30.627416997969522,61.0659966456864,116.459508194416,0.0,0.6185762990200453,0.8198954001035289,0.9635417596344359,1.0,8.0,8.0
