metric,column,label,group_type,group_value,n_chem,n_hpf,chem_median,chem_ci_lo,chem_ci_hi,hpf_median,hpf_ci_lo,hpf_ci_hi,diff_median,diff_ci_lo,diff_ci_hi,mw_u,mw_p,cliff_delta,direction
voronoi_gap,percentiles_nm_p75,gap p75 nm,region_group,Bile canaliculus,3,4,126.62768258672632,126.49439905982798,153.66247720969392,120.99160428654687,73.71034673418816,153.6715641555898,5.636078300179449,-27.043881568863483,66.24074553051729,7.0,0.8571428571428571,0.16666666666666666,Chem>HPF
voronoi_gap,percentiles_nm_p75,gap p75 nm,region_group,DCT base,2,3,116.16907274017127,101.6436458225811,130.69449965776144,50.22333494023495,45.48446176226374,54.62741699796952,65.94573779993632,47.01622882461159,85.21003789549769,6.0,0.2,1.0,Chem>HPF
voronoi_gap,contact_fractions_p40,contact<40nm,tissue,Cortex,7,3,0.9601948253019081,0.8356058518386171,0.9744199392295554,0.6724289699105878,0.25999145809868124,0.6817039078435577,0.2877658553913204,0.1539019439950594,0.7047354990655348,19.0,0.06666666666666667,0.8095238095238095,Chem>HPF
voronoi_gap,contact_fractions_p40,contact<40nm,tissue,Kidney,7,4,0.4396934796749802,0.13673905312762735,0.6611157914982798,0.33105714929406616,0.013289810461605179,0.6853934267798413,0.10863633038091403,-0.34818817810383823,0.5503556012914204,16.0,0.7878787878787878,0.14285714285714285,approx
voronoi_gap,contact_fractions_p40,contact<40nm,tissue,Liver,7,10,0.28172545786159914,0.16073352513363118,0.5048443612935645,0.429279979566364,0.3217237198013475,0.8325112135482027,-0.14755452170476485,-0.578370718810471,0.11802136928924917,17.0,0.08782394076511724,-0.5142857142857142,HPF>Chem
voronoi_gap,contact_fractions_p40,contact<40nm,region_group,Bile canaliculus,3,4,0.5048443612935645,0.28172545786159914,0.5315424891728217,0.3505981139145112,0.2673584422239303,0.44572423086917373,0.1542462473790533,-0.12154178544552591,0.23748591906963418,9.0,0.4,0.5,Chem>HPF
voronoi_gap,contact_fractions_p40,contact<40nm,region_group,DCT base,2,3,0.6346117927135608,0.6081077939288417,0.6611157914982798,0.45388372863601867,0.20823056995211364,0.6853934267798413,0.18072806407754216,-0.07728563285099954,0.4528852215461662,4.0,0.8,0.3333333333333333,Chem>HPF
voronoi_gap,contact_fractions_p80,contact<80nm,tissue,Cortex,7,3,0.999837560978086,0.9983750276330094,1.0,0.8823390279529643,0.45289799981986467,0.9554900936359488,0.1174985330251217,0.042884933997060615,0.5471020001801353,19.0,0.0674116194841113,0.8095238095238095,Chem>HPF
voronoi_gap,contact_fractions_p80,contact<80nm,tissue,Kidney,7,4,0.6189138682398769,0.40966514557552075,0.7086215981574687,0.9232793573882261,0.18950469780368703,0.962271501484795,-0.30436548914834916,-0.5362792670738148,0.42940917043618987,10.0,0.5272727272727272,-0.2857142857142857,HPF>Chem
voronoi_gap,contact_fractions_p80,contact<80nm,tissue,Liver,7,10,0.6231666618830055,0.47546700989707746,0.6640532464735652,0.8399303595850582,0.6373088765667342,0.9307830677912867,-0.21676369770205273,-0.4258726995412233,0.01698251367548631,14.0,0.043089263677498976,-0.6,HPF>Chem
